age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status
40.0,50000,RENT,6,EDUCATION,15000,16.89,0.3,N,17,0
40.0,60000,OWN,20,HOMEIMPROVEMENT,15000,13.43,0.25,Y,13,0
40.0,69996,OWN,2,EDUCATION,15000,12.84,0.21,N,11,0
40.0,70000,MORTGAGE,5,EDUCATION,15000,14.26,0.21,Y,15,0
40.0,53000,MORTGAGE,2,HOMEIMPROVEMENT,15000,10.62,0.28,N,15,0
40.0,58000,MORTGAGE,16,PERSONAL,15000,10.25,0.26,N,14,0
40.0,100000,MORTGAGE,4,HOMEIMPROVEMENT,15000,11.49,0.15,N,13,0
40.0,135000,MORTGAGE,0,PERSONAL,15000,13.47,0.11,Y,17,0
40.0,63000,MORTGAGE,3,HOMEIMPROVEMENT,15000,10.25,0.24,N,17,0
40.0,48000,MORTGAGE,17,MEDICAL,14750,9.91,0.29,N,15,0
40.0,42000,MORTGAGE,13,EDUCATION,14500,7.88,0.33,N,13,0
40.0,57000,RENT,0,DEBTCONSOLIDATION,14400,11.71,0.25,N,12,0
40.0,75000,RENT,2,EDUCATION,14400,14.72,0.19,Y,16,0
40.0,110000,RENT,5,PERSONAL,14000,5.42,0.13,N,11,0
40.0,54996,RENT,1,VENTURE,14000,10.37,0.25,N,15,0
40.0,180000,MORTGAGE,6,MEDICAL,14000,14.27,0.08,Y,14,0
40.0,86500,OWN,24,EDUCATION,14000,7.29,0.16,N,12,0
40.0,140000,RENT,5,HOMEIMPROVEMENT,14000,7.88,0.1,N,13,0
40.0,70000,RENT,3,DEBTCONSOLIDATION,14000,13.49,0.2,Y,12,0
40.0,117600,MORTGAGE,8,DEBTCONSOLIDATION,14000,13.48,0.12,N,17,0
40.0,60000,RENT,2,HOMEIMPROVEMENT,14000,12.53,0.23,N,15,0
40.0,180000,MORTGAGE,8,EDUCATION,14000,11.99,0.08,N,11,0
40.0,115000,MORTGAGE,12,DEBTCONSOLIDATION,14000,6.03,0.12,N,16,0
40.0,115000,MORTGAGE,16,VENTURE,14000,6.03,0.12,N,13,0
40.0,54000,MORTGAGE,2,HOMEIMPROVEMENT,13200,7.88,0.25,N,16,0
40.0,63996,MORTGAGE,8,MEDICAL,13000,10.25,0.2,N,17,0
40.0,48000,RENT,5,VENTURE,13000,5.79,0.25,N,11,0
40.0,101877,RENT,8,HOMEIMPROVEMENT,12800,7.88,0.12,N,14,0
40.0,52000,RENT,2,HOMEIMPROVEMENT,12800,10.99,0.25,N,17,0
40.0,90000,MORTGAGE,19,VENTURE,12000,12.61,0.13,N,13,0
40.0,60000,MORTGAGE,15,PERSONAL,12000,14.27,0.2,N,16,0
40.0,65000,MORTGAGE,7,MEDICAL,12000,8.94,0.18,N,12,0
40.0,60000,RENT,5,HOMEIMPROVEMENT,12000,11.71,0.2,N,14,0
40.0,40000,RENT,2,EDUCATION,12000,7.9,0.3,N,11,0
40.0,60000,RENT,5,PERSONAL,12000,11.71,0.2,N,13,0
40.0,50000,RENT,4,HOMEIMPROVEMENT,12000,13.99,0.24,Y,16,0
40.0,132000,RENT,1,HOMEIMPROVEMENT,12000,12.87,0.09,N,16,0
40.0,55000,MORTGAGE,3,EDUCATION,12000,15.2,0.22,N,14,0
40.0,53000,RENT,7,PERSONAL,12000,16.77,0.23,N,16,0
40.0,150000,MORTGAGE,5,VENTURE,12000,7.29,0.08,N,17,0
40.0,60000,RENT,6,PERSONAL,12000,13.49,0.2,N,16,0
40.0,54000,RENT,4,DEBTCONSOLIDATION,12000,11.36,0.22,N,17,0
40.0,180000,RENT,2,DEBTCONSOLIDATION,12000,7.51,0.07,N,13,0
40.0,75000,MORTGAGE,7,PERSONAL,12000,7.88,0.17,N,13,0
40.0,55000,RENT,3,EDUCATION,12000,14.27,0.22,N,15,0
40.0,110000,MORTGAGE,0,MEDICAL,12000,10.37,0.11,N,15,0
40.0,50000,MORTGAGE,6,DEBTCONSOLIDATION,12000,10.37,0.24,N,14,0
40.0,130000,MORTGAGE,3,PERSONAL,12000,9.91,0.09,N,15,0
40.0,75000,MORTGAGE,3,MEDICAL,12000,7.51,0.16,N,13,0
40.0,90000,MORTGAGE,11,EDUCATION,12000,10.0,0.13,N,11,0
40.0,100000,MORTGAGE,0,HOMEIMPROVEMENT,12000,8.59,0.12,N,15,0
40.0,72000,RENT,3,PERSONAL,12000,14.27,0.17,Y,15,0
40.0,38000,OWN,10,VENTURE,12000,5.42,0.32,N,16,0
40.0,85000,OWN,16,VENTURE,12000,7.51,0.14,N,14,0
40.0,123735,MORTGAGE,8,PERSONAL,12000,7.88,0.1,N,12,0
40.0,110000,RENT,1,VENTURE,12000,6.99,0.11,N,15,0
40.0,130000,MORTGAGE,6,MEDICAL,11800,11.14,0.09,N,13,0
40.0,65000,RENT,6,MEDICAL,11500,12.87,0.18,Y,17,0
40.0,40000,RENT,0,PERSONAL,11500,14.26,0.28,N,12,0
40.0,95000,MORTGAGE,3,HOMEIMPROVEMENT,11200,14.27,0.12,N,16,0
40.0,50000,MORTGAGE,5,VENTURE,11000,5.99,0.22,N,14,0
40.0,130000,MORTGAGE,1,PERSONAL,11000,10.99,0.08,N,12,0
40.0,125000,RENT,3,VENTURE,10200,8.49,0.08,N,17,0
40.0,74000,RENT,7,MEDICAL,10200,12.53,0.14,N,17,0
40.0,57600,RENT,1,PERSONAL,10000,13.61,0.17,N,11,0
40.0,60000,MORTGAGE,12,DEBTCONSOLIDATION,10000,7.14,0.17,N,14,0
40.0,50000,MORTGAGE,2,EDUCATION,10000,15.28,0.2,Y,17,0
40.0,120000,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.37,0.08,N,12,0
40.0,90000,RENT,1,MEDICAL,10000,11.86,0.11,N,12,0
40.0,35640,MORTGAGE,2,MEDICAL,10000,7.88,0.28,N,11,0
40.0,150000,MORTGAGE,8,MEDICAL,10000,7.29,0.07,N,12,0
40.0,82000,OWN,10,EDUCATION,10000,9.99,0.12,N,11,0
40.0,63000,MORTGAGE,0,MEDICAL,10000,10.74,0.16,N,14,0
40.0,102000,MORTGAGE,2,MEDICAL,10000,9.63,0.1,N,14,0
40.0,36000,MORTGAGE,3,PERSONAL,10000,5.99,0.28,N,17,0
40.0,175500,MORTGAGE,2,HOMEIMPROVEMENT,10000,12.18,0.06,N,15,0
40.0,125000,RENT,3,EDUCATION,10000,14.27,0.08,N,15,0
40.0,42000,RENT,4,VENTURE,10000,7.9,0.24,N,15,0
40.0,85000,MORTGAGE,18,MEDICAL,10000,9.99,0.12,N,12,0
40.0,98000,MORTGAGE,5,VENTURE,10000,11.48,0.1,N,11,0
40.0,60000,MORTGAGE,12,VENTURE,10000,10.36,0.17,N,16,0
40.0,75996,MORTGAGE,15,MEDICAL,10000,6.91,0.13,N,16,0
40.0,200000,MORTGAGE,2,DEBTCONSOLIDATION,10000,7.9,0.05,N,14,0
40.0,40000,MORTGAGE,4,MEDICAL,10000,5.99,0.25,N,16,0
40.0,75000,MORTGAGE,0,EDUCATION,10000,10.95,0.13,N,14,0
40.0,60000,RENT,5,MEDICAL,10000,10.59,0.17,N,17,0
40.0,44000,RENT,4,VENTURE,10000,6.62,0.23,N,17,0
40.0,50000,RENT,5,VENTURE,10000,6.62,0.2,N,16,0
40.0,70000,RENT,2,EDUCATION,10000,10.65,0.14,N,12,0
40.0,38004,RENT,4,MEDICAL,10000,9.63,0.26,N,13,0
40.0,120000,MORTGAGE,2,MEDICAL,10000,11.99,0.08,N,11,0
40.0,60000,RENT,2,VENTURE,10000,13.43,0.17,Y,14,0
40.0,100000,OWN,16,MEDICAL,10000,7.49,0.1,N,17,0
40.0,60000,MORTGAGE,4,HOMEIMPROVEMENT,10000,7.88,0.17,N,16,0
40.0,112500,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.25,0.09,N,12,0
40.0,108288,MORTGAGE,13,DEBTCONSOLIDATION,10000,10.37,0.09,N,14,0
40.0,39000,MORTGAGE,6,HOMEIMPROVEMENT,10000,11.48,0.26,N,15,0
40.0,150000,MORTGAGE,5,EDUCATION,10000,7.9,0.07,N,13,0
40.0,60000,RENT,5,HOMEIMPROVEMENT,10000,13.43,0.17,N,17,0
40.0,80000,MORTGAGE,3,HOMEIMPROVEMENT,10000,11.49,0.13,N,17,0
40.0,67000,RENT,13,DEBTCONSOLIDATION,10000,10.74,0.15,N,14,0
40.0,50000,RENT,3,HOMEIMPROVEMENT,10000,6.62,0.2,N,15,0
40.0,70000,MORTGAGE,2,EDUCATION,10000,14.27,0.14,Y,12,0
40.0,115000,RENT,16,EDUCATION,9975,7.49,0.09,N,14,0
40.0,114000,RENT,2,VENTURE,9975,11.49,0.09,N,16,0
40.0,106000,MORTGAGE,19,EDUCATION,9600,9.99,0.09,N,14,0
40.0,45760,MORTGAGE,2,PERSONAL,9125,11.11,0.2,N,11,0
40.0,75000,MORTGAGE,2,VENTURE,9000,5.79,0.12,N,14,0
40.0,118000,MORTGAGE,1,VENTURE,9000,14.11,0.07,N,14,0
40.0,92700,RENT,1,EDUCATION,9000,9.63,0.1,N,11,0
40.0,65000,MORTGAGE,5,MEDICAL,9000,10.99,0.14,N,13,0
40.0,170000,MORTGAGE,18,HOMEIMPROVEMENT,9000,9.45,0.05,N,11,0
40.0,45000,RENT,0,HOMEIMPROVEMENT,9000,12.61,0.19,Y,13,0
40.0,110000,MORTGAGE,3,PERSONAL,9000,13.72,0.08,Y,15,0
40.0,68000,MORTGAGE,4,EDUCATION,8700,15.58,0.12,Y,16,0
40.0,28800,OWN,0,VENTURE,8000,10.38,0.28,N,17,0
40.0,62000,MORTGAGE,3,HOMEIMPROVEMENT,8000,14.83,0.13,N,15,0
40.0,35000,OWN,2,PERSONAL,8000,16.29,0.23,Y,13,0
40.0,55000,MORTGAGE,2,VENTURE,8000,12.53,0.15,N,13,0
40.0,60000,RENT,1,HOMEIMPROVEMENT,8000,13.57,0.13,N,12,0
40.0,48000,RENT,15,DEBTCONSOLIDATION,8000,9.25,0.17,N,14,0
40.0,55000,MORTGAGE,5,PERSONAL,8000,8.49,0.15,N,14,0
40.0,60000,RENT,6,PERSONAL,8000,10.37,0.13,N,11,0
40.0,50000,MORTGAGE,5,MEDICAL,8000,5.99,0.16,N,11,0
40.0,69996,RENT,1,MEDICAL,8000,9.32,0.11,N,16,0
40.0,87000,RENT,2,EDUCATION,8000,12.21,0.09,N,11,0
40.0,70000,OWN,11,HOMEIMPROVEMENT,8000,13.61,0.11,N,15,0
40.0,61500,RENT,3,MEDICAL,8000,10.37,0.13,N,17,0
40.0,38400,RENT,2,PERSONAL,8000,12.42,0.21,N,11,0
40.0,89440,OWN,8,HOMEIMPROVEMENT,8000,11.86,0.09,N,16,0
40.0,150000,MORTGAGE,3,HOMEIMPROVEMENT,8000,9.62,0.05,N,17,0
40.0,30000,RENT,0,MEDICAL,8000,9.63,0.27,N,14,0
40.0,60000,RENT,5,PERSONAL,8000,7.51,0.13,N,15,0
40.0,45000,RENT,3,MEDICAL,8000,10.38,0.18,N,17,0
40.0,40000,RENT,2,VENTURE,8000,11.36,0.2,N,14,0
40.0,90000,MORTGAGE,12,VENTURE,8000,7.66,0.09,N,14,0
40.0,115600,MORTGAGE,4,HOMEIMPROVEMENT,8000,7.88,0.07,N,11,0
40.0,85000,MORTGAGE,18,VENTURE,8000,7.88,0.09,N,17,0
40.0,36000,RENT,5,MEDICAL,7600,6.03,0.21,N,14,0
40.0,55000,RENT,2,EDUCATION,7500,10.65,0.14,N,14,0
40.0,170004,RENT,18,EDUCATION,7500,12.68,0.04,N,17,0
40.0,177600,MORTGAGE,11,EDUCATION,7500,11.86,0.04,N,11,0
40.0,132000,RENT,3,HOMEIMPROVEMENT,7500,7.9,0.06,N,11,0
40.0,85000,MORTGAGE,7,MEDICAL,7500,11.86,0.09,N,16,0
40.0,48000,RENT,3,MEDICAL,7500,10.99,0.16,N,15,0
40.0,50000,RENT,5,HOMEIMPROVEMENT,7500,14.27,0.15,N,14,0
40.0,64000,RENT,2,MEDICAL,7200,6.62,0.11,N,11,0
40.0,32400,MORTGAGE,12,VENTURE,7125,7.51,0.23,N,11,0
40.0,69930,MORTGAGE,8,PERSONAL,7125,6.62,0.1,N,16,0
40.0,84000,RENT,5,HOMEIMPROVEMENT,7000,6.91,0.08,N,13,0
40.0,149000,MORTGAGE,25,HOMEIMPROVEMENT,7000,10.59,0.05,N,14,0
40.0,28800,RENT,1,VENTURE,7000,7.49,0.25,N,13,0
40.0,150000,MORTGAGE,1,MEDICAL,7000,11.71,0.05,N,14,0
40.0,70000,MORTGAGE,1,EDUCATION,7000,7.29,0.1,N,16,0
40.0,100000,RENT,1,HOMEIMPROVEMENT,7000,9.63,0.07,N,17,0
40.0,50000,MORTGAGE,5,HOMEIMPROVEMENT,7000,7.49,0.14,N,11,0
40.0,55000,MORTGAGE,5,VENTURE,7000,9.99,0.13,N,14,0
40.0,225000,MORTGAGE,3,EDUCATION,7000,9.99,0.03,N,16,0
40.0,75000,MORTGAGE,17,EDUCATION,7000,5.42,0.09,N,14,0
40.0,60000,MORTGAGE,7,HOMEIMPROVEMENT,7000,6.76,0.12,N,16,0
40.0,125000,MORTGAGE,5,MEDICAL,7000,11.71,0.06,N,12,0
40.0,120000,MORTGAGE,3,MEDICAL,7000,10.65,0.06,N,13,0
40.0,30000,OWN,5,EDUCATION,7000,9.32,0.23,N,11,0
40.0,96000,MORTGAGE,0,PERSONAL,7000,8.94,0.07,N,16,0
40.0,120000,MORTGAGE,12,HOMEIMPROVEMENT,7000,5.79,0.06,N,11,0
40.0,60000,MORTGAGE,5,VENTURE,7000,10.0,0.12,N,14,0
40.0,27600,OWN,4,PERSONAL,7000,11.11,0.25,N,16,0
40.0,60000,MORTGAGE,2,DEBTCONSOLIDATION,7000,7.88,0.12,N,11,0
40.0,60000,RENT,0,PERSONAL,7000,8.94,0.12,N,14,0
40.0,53000,RENT,6,PERSONAL,6800,12.84,0.13,N,11,0
40.0,48000,MORTGAGE,10,VENTURE,6700,5.99,0.14,N,11,0
40.0,72000,MORTGAGE,16,VENTURE,6400,5.79,0.09,N,15,0
40.0,45600,MORTGAGE,6,EDUCATION,6250,9.32,0.14,N,16,0
40.0,120000,MORTGAGE,18,HOMEIMPROVEMENT,6000,6.03,0.05,N,14,0
40.0,63000,RENT,5,HOMEIMPROVEMENT,6000,7.74,0.09,N,17,0
40.0,60000,RENT,0,DEBTCONSOLIDATION,6000,10.65,0.1,N,14,0
40.0,54000,MORTGAGE,10,PERSONAL,6000,7.14,0.11,N,12,0
40.0,102000,MORTGAGE,6,HOMEIMPROVEMENT,6000,9.99,0.06,N,16,0
40.0,30000,RENT,4,PERSONAL,6000,7.49,0.2,N,14,0
40.0,102000,MORTGAGE,4,EDUCATION,6000,7.51,0.06,N,11,0
40.0,120000,OWN,12,HOMEIMPROVEMENT,6000,8.88,0.05,N,14,0
40.0,120000,MORTGAGE,3,HOMEIMPROVEMENT,6000,7.14,0.05,N,14,0
40.0,95000,MORTGAGE,4,PERSONAL,6000,12.99,0.06,Y,16,0
40.0,110000,RENT,2,MEDICAL,6000,8.94,0.05,N,13,0
40.0,61500,MORTGAGE,5,HOMEIMPROVEMENT,6000,11.48,0.1,N,13,0
40.0,60000,RENT,3,HOMEIMPROVEMENT,6000,10.99,0.1,N,16,0
40.0,50000,RENT,5,DEBTCONSOLIDATION,6000,14.27,0.12,N,17,0
40.0,90000,MORTGAGE,2,PERSONAL,6000,10.62,0.07,N,16,0
40.0,92004,RENT,4,MEDICAL,6000,10.37,0.07,N,16,0
40.0,69000,RENT,3,MEDICAL,6000,10.0,0.09,N,11,0
40.0,72000,MORTGAGE,0,HOMEIMPROVEMENT,6000,5.42,0.08,N,11,0
40.0,55000,MORTGAGE,6,VENTURE,6000,11.99,0.11,N,14,0
40.0,90000,MORTGAGE,12,PERSONAL,6000,11.11,0.07,N,11,0
40.0,37000,RENT,2,MEDICAL,6000,5.99,0.16,N,16,0
40.0,140000,MORTGAGE,8,EDUCATION,6000,9.64,0.04,N,13,0
40.0,75000,MORTGAGE,7,MEDICAL,6000,11.12,0.08,N,16,0
40.0,142000,RENT,2,DEBTCONSOLIDATION,6000,10.38,0.04,N,17,0
40.0,89796,MORTGAGE,2,VENTURE,6000,6.62,0.07,N,17,0
40.0,60000,RENT,2,PERSONAL,6000,8.94,0.1,N,12,0
40.0,50000,RENT,3,PERSONAL,6000,6.76,0.12,N,12,0
40.0,39500,RENT,1,DEBTCONSOLIDATION,5600,7.9,0.14,N,15,0
40.0,59484,MORTGAGE,13,VENTURE,5500,10.99,0.09,N,10,0
40.0,64000,MORTGAGE,8,MEDICAL,5500,10.62,0.08,N,14,0
40.0,54000,RENT,2,EDUCATION,5500,8.59,0.1,N,11,0
40.0,25000,RENT,2,PERSONAL,5475,6.62,0.22,N,14,0
40.0,150000,MORTGAGE,4,MEDICAL,5200,12.69,0.03,N,11,0
40.0,37000,RENT,2,VENTURE,5000,9.99,0.14,N,11,0
40.0,300000,RENT,6,DEBTCONSOLIDATION,5000,10.37,0.02,N,11,0
40.0,154000,MORTGAGE,18,PERSONAL,5000,16.45,0.03,Y,11,0
40.0,70000,MORTGAGE,2,EDUCATION,5000,7.88,0.07,N,16,0
40.0,60000,RENT,5,EDUCATION,5000,7.9,0.08,N,13,0
40.0,30000,MORTGAGE,1,DEBTCONSOLIDATION,5000,7.14,0.17,N,13,0
40.0,80000,MORTGAGE,3,VENTURE,5000,5.42,0.06,N,14,0
40.0,48000,MORTGAGE,3,HOMEIMPROVEMENT,5000,14.27,0.1,Y,15,0
40.0,32004,RENT,2,VENTURE,5000,9.32,0.16,N,14,0
40.0,48000,MORTGAGE,5,DEBTCONSOLIDATION,5000,7.51,0.1,N,16,0
40.0,75000,RENT,6,EDUCATION,5000,11.49,0.07,N,12,0
40.0,95000,RENT,2,MEDICAL,5000,14.79,0.05,Y,14,0
40.0,90000,RENT,1,DEBTCONSOLIDATION,5000,13.57,0.06,Y,15,0
40.0,50000,RENT,4,DEBTCONSOLIDATION,5000,10.37,0.1,N,14,0
40.0,45000,RENT,6,VENTURE,5000,14.79,0.11,Y,14,0
40.0,35000,RENT,2,MEDICAL,5000,13.22,0.14,N,15,0
40.0,130000,MORTGAGE,8,VENTURE,5000,13.16,0.04,Y,13,0
40.0,80000,RENT,6,PERSONAL,5000,12.87,0.06,N,13,0
40.0,36000,RENT,2,MEDICAL,5000,10.37,0.14,N,16,0
40.0,60000,RENT,5,EDUCATION,5000,11.86,0.08,N,12,0
40.0,70000,MORTGAGE,0,MEDICAL,5000,11.78,0.07,Y,11,0
40.0,25000,OWN,2,PERSONAL,5000,9.62,0.2,N,15,0
40.0,36000,RENT,0,MEDICAL,5000,13.22,0.14,N,16,0
40.0,60000,OWN,18,PERSONAL,5000,13.85,0.08,Y,15,0
40.0,54000,RENT,0,MEDICAL,5000,5.42,0.09,N,13,0
40.0,110000,MORTGAGE,1,EDUCATION,5000,9.63,0.05,N,11,0
40.0,50000,MORTGAGE,4,HOMEIMPROVEMENT,5000,7.14,0.1,N,17,0
40.0,45000,MORTGAGE,3,PERSONAL,5000,6.99,0.11,N,15,0
40.0,54000,MORTGAGE,20,PERSONAL,5000,7.14,0.09,N,17,0
40.0,100000,RENT,0,MEDICAL,5000,7.75,0.05,N,17,0
40.0,55236,RENT,17,HOMEIMPROVEMENT,5000,15.05,0.09,Y,14,0
40.0,42000,RENT,2,MEDICAL,5000,5.79,0.12,N,15,0
40.0,36000,RENT,2,MEDICAL,5000,9.63,0.14,N,16,0
40.0,36000,RENT,2,EDUCATION,5000,9.99,0.14,N,17,0
40.0,60000,MORTGAGE,1,PERSONAL,5000,11.14,0.08,N,17,0
40.0,31200,MORTGAGE,4,HOMEIMPROVEMENT,5000,10.65,0.16,N,11,0
40.0,54096,RENT,3,VENTURE,4900,10.96,0.09,N,14,0
40.0,65004,RENT,0,MEDICAL,4800,11.28,0.08,Y,11,0
40.0,69600,OWN,12,VENTURE,4800,7.29,0.07,N,16,0
40.0,30000,OWN,3,HOMEIMPROVEMENT,4800,7.29,0.16,N,13,0
40.0,105000,MORTGAGE,11,MEDICAL,4800,10.59,0.05,N,17,0
40.0,70000,RENT,12,VENTURE,4500,5.79,0.06,N,15,0
40.0,75000,MORTGAGE,2,EDUCATION,4400,6.99,0.06,N,12,0
40.0,63000,MORTGAGE,3,EDUCATION,4000,6.92,0.06,N,13,0
40.0,30000,RENT,0,EDUCATION,4000,11.83,0.13,N,12,0
40.0,42000,RENT,0,EDUCATION,4000,14.65,0.1,N,16,0
40.0,50000,RENT,2,PERSONAL,4000,13.47,0.08,Y,17,0
40.0,54000,MORTGAGE,2,PERSONAL,4000,12.42,0.07,N,12,0
40.0,65000,MORTGAGE,2,EDUCATION,4000,10.99,0.06,N,11,0
40.0,50000,RENT,1,DEBTCONSOLIDATION,4000,14.27,0.08,Y,17,0
40.0,36000,RENT,2,EDUCATION,4000,14.26,0.11,Y,12,0
40.0,60000,RENT,2,EDUCATION,3600,7.66,0.06,N,12,0
40.0,60000,RENT,3,EDUCATION,3600,16.89,0.06,N,17,0
40.0,20000,RENT,4,VENTURE,3600,13.11,0.17,Y,11,0
40.0,55182,RENT,0,VENTURE,3500,6.99,0.06,N,12,0
40.0,35000,RENT,1,MEDICAL,3500,14.27,0.1,Y,16,0
40.0,68000,MORTGAGE,4,HOMEIMPROVEMENT,3500,5.42,0.05,N,14,0
40.0,48000,MORTGAGE,18,VENTURE,3500,11.99,0.07,N,14,0
40.0,74400,MORTGAGE,0,MEDICAL,3500,7.29,0.05,N,14,0
40.0,35820,RENT,0,PERSONAL,3275,8.88,0.09,N,6,0
40.0,50000,MORTGAGE,3,HOMEIMPROVEMENT,3250,10.37,0.07,N,17,0
40.0,65000,MORTGAGE,1,HOMEIMPROVEMENT,3100,7.29,0.05,N,16,0
40.0,50000,MORTGAGE,0,HOMEIMPROVEMENT,3000,6.03,0.06,N,17,0
40.0,27600,OWN,16,VENTURE,3000,14.27,0.11,N,17,0
40.0,60000,MORTGAGE,7,MEDICAL,3000,7.74,0.05,N,13,0
40.0,48000,RENT,15,PERSONAL,3000,11.78,0.06,Y,17,0
40.0,77500,RENT,3,EDUCATION,3000,14.72,0.04,Y,16,0
40.0,50000,MORTGAGE,6,HOMEIMPROVEMENT,3000,5.42,0.06,N,11,0
40.0,50000,RENT,3,MEDICAL,3000,12.53,0.06,N,16,0
40.0,50000,RENT,1,MEDICAL,3000,9.99,0.06,N,15,0
40.0,60000,MORTGAGE,12,HOMEIMPROVEMENT,3000,10.0,0.05,N,14,0
